,imu_x,imu_y,imu_z,imu_dx,imu_dy,imu_dz,imu_index
0,-0.0014977973568281921,0.03502202643171791,-0.04237885462555049,-1.936212452381145,-0.008339752127988497,1.8389153442212887,0
1,0.010151515151515158,0.01984848484848486,-0.0501515151515151,0.1650645140073637,0.11855148944171477,0.22367848805350649,1
2,0.01,0.015,-0.055,0.1650645140073637,0.35767032361119977,-1.1394556554570237,2
3,0.02,-0.0033333333333333335,-0.06333333333333334,-0.21839304930204667,0.3094526941427626,-0.31120384115893024,3
4,0.02,-0.0033333333333333335,-0.06333333333333334,-0.0,0.0,-0.0,4
5,0.0425,-0.025,-0.1225,-0.0,0.33635985344434904,-0.0,5
6,0.023333333333333334,-0.0033333333333333322,-0.17333333333333334,-0.0,-1.951219926087917,0.011519173063162507,6
7,0.024,0.012,-0.196,-1.609134229144188,-1.951219926087917,0.26192505150529033,7
8,0.036666666666666674,0.0033333333333333335,-0.19333333333333336,-1.702655951783068,-0.24477660982803137,-0.18833847958270805,8
9,0.01,0.02,-0.13666666666666666,-1.702655951783068,-1.0234610733694833,-0.24923301718479232,9
10,0.01,0.02,-0.13666666666666666,0.0,-0.0,-0.0,10
11,0.144,0.13799999999999998,-0.118,0.0,0.1736148820128843,-1.078962543582897,11
12,0.20000000000000004,0.17666666666666667,-0.118,-0.41852995462823356,-0.17048376133480336,0.054332099614582616,12
13,0.23399999999999999,0.19999999999999998,-0.11000000000000001,-0.41852995462823356,0.8145730871737811,-1.6763678025895206,13
14,0.25,0.20750000000000002,-0.11,-0.7792720577229567,-0.05222025121967091,0.28874727144994505,14
15,0.25,0.20750000000000002,-0.11,-0.0,-0.0,0.0,15
16,0.2233333333333333,0.10500000000000002,-0.11,-1.4279120386982977,-0.0,-0.6075491126192278,16
17,0.2233333333333333,0.10500000000000002,-0.11,-0.0,-0.0,-0.0,17
18,0.1325,0.005000000000000001,-0.0725,-1.560324351282925,-0.0,0.1282817000215826,18
19,0.065,-0.015000000000000001,-0.027500000000000004,1.1420605593656157,0.9135358737557389,-0.11144799938609752,19
20,0.065,-0.015000000000000001,-0.027500000000000004,0.0,0.0,-0.0,20
21,0.02,0.006,-0.092,0.0,1.591440081187485,-0.828507795921708,21
22,0.0325,0.01,-0.1275,-0.26065619713909655,-0.6931793290452071,-0.13292427583188987,22
23,0.015000000000000001,0.015000000000000001,-0.13,0.2229658119422748,-0.1282817000215828,-0.08901179185171049,23
24,0.01,0.005,-0.115,-1.1355984778101045,0.8121017009529572,0.09791297103688137,24
25,-0.0,0.0,-0.03333333333333333,-0.39950586578150193,-0.8326209551922414,-0.017755816256955645,25
26,-0.03,0.013333333333333334,0.04666666666666667,0.7973827575944717,1.1007209815910846,0.05823581937487715,26
27,-0.04,0.02,0.07,0.0575958653158137,0.1448623279155314,0.16057029118348057,27
28,-0.025,0.03,0.045000000000000005,-0.7923620271128976,-0.12301953232681906,0.9831876008796957,28
29,0.048,0.032,-0.044,0.4005740072837233,-1.551538363828394,0.19388513594554643,29
30,0.048,0.032,-0.044,0.0,-0.0,0.0,30
31,0.048,0.02,-0.05600000000000001,-0.4280036018080653,-0.28063498108667223,0.01974316449855986,31
32,0.04,0.01,-0.06,0.1922654703996963,-0.22619467105846622,-0.2569822790636464,32
33,0.03333333333333333,0.03,-0.043333333333333335,0.8069820684804406,0.3474950540720692,0.29565877528783785,33
34,0.03,0.045,-0.03,-0.44233624562544377,0.16242034019059265,0.23585506846825421,34
35,0.046,0.084,-0.022000000000000002,-1.0795943527721121,-0.5967943937684347,-0.1025555468471864,35
36,0.045,0.10500000000000001,-0.02,0.49574332073647187,-0.8303229383437865,0.20451768174869656,36
37,0.0033333333333333335,0.08333333333333333,-0.0033333333333333335,-0.4475198735038686,1.012570218837036,1.0409841790595038,37
38,-0.015,0.060000000000000005,0.030000000000000002,-0.0555887366760188,0.22663100337146133,0.2702467813787991,38
39,-0.0,0.034,0.038,-0.5646698635562332,0.4918477458460213,0.19061089826880595,39
40,0.02,0.03,0.016666666666666666,-0.34117696217985327,0.6471680866395007,-0.20608847807549147,40
41,0.06200000000000001,0.03,0.004,0.1774930036108127,-1.085287616792106,0.127450923297632,41
42,0.062,0.024,-0.0,-0.4428703163765557,0.12050102221619326,0.22782829923833317,42
43,0.06666666666666667,0.0033333333333333335,-0.013333333333333334,0.07476990515543744,0.1627344994559521,0.0772831792783093,43
44,0.07,-0.01,-0.02,-1.022326609355673,-0.334056018831713,0.1910262866307784,44
45,0.06666666666666667,-0.006666666666666667,-0.02,0.10943214410004391,0.6335545184739383,-0.8057021603623116,45
46,0.098,0.028000000000000004,0.012,1.3558241228267576,-0.28762677007016196,-0.14907206207134002,46
47,0.098,0.028000000000000004,0.012,0.0,-0.0,-0.0,47
48,0.10200000000000001,0.068,0.044,1.5035767159835909,0.28205218843929253,-1.004723218520066,48
49,0.085,0.07,0.055,-0.9801769079200204,0.1300619358586181,0.7304202919596305,49
50,0.036666666666666674,0.05333333333333334,0.056666666666666664,-0.46716646311714644,0.2771001075749649,-0.05055637066610215,50
51,0.036666666666666674,0.05333333333333334,0.056666666666666664,-0.6455391126709661,0.38290196683086064,-0.06985971219315934,51
52,-0.062,0.016,0.14600000000000002,-0.2228087323096005,0.06194173515327998,-0.19807741680884036,52
53,-0.07750000000000001,0.022500000000000003,0.16999999999999998,-0.12394019350724755,0.6924593807287516,-0.030106929596902244,53
54,-0.08499999999999999,0.03,0.19,0.008552113334772127,0.8398175294746227,1.025398388839178,54
55,-0.065,0.03,0.175,-0.46398705499643517,0.8398175294746227,0.05037020221255664,55
